Human Being	Frick off
Oliver Adam	New spectator mode is absolutely huge. Having that for OWL and ladder even. Coaches and analysts are going to love this. So much we'll be able to learn
Steven909	Overwatch 2 confirmed.
Sam Darcy	What about mercy is she still dead ?
LordSkeleton17	To be honest, I am expecting some sort of a flametrower hero. They introduced/worked on burning mechanics for Torb, so I have a feeling they will use it somewhere else as well and maybe even build a hero around it.
Cloudberry	So no news yet on when the DH-Sombraskin will be available to people without VT?
Khushal Satish	DAD
Brandon Acosta	Sym needs a buff? I'm just shy of a 90% win rate in my plat alt account.  That is plat though so idk
Legionairre	Thank you for acknowledging Mercy
John Smith	Did he say Mercy and buff in the same sentence? What sorcery is this?
x Pain	NERF BRIG
L2R34D	don´t even play OW anymore, still watches these for Jeff
JadendayZero	PC MASTER RACE
Elycius	buff to sym? monkaSHAKE dude...
hl2mukkel	This is actually big! Amazing.
Manu esteban	this is epic
Ked	this is pog
Mariosam100	I think you may need some eye drops man
Part-time-Unicorn	ok this is p hype
Epic_Rager	2:46 LOOK AT HIS HAND LUL *DAB*
Millie	Mercy buff 🙌
ArchfiendGod	SYMM AND MERCY BUFFS!!!!!
GNE Show	Nerf bastion
DrJayNation	*"MERCY"* and *"BUFF"* in the same sentence? Nah, I call BS.
Sora	Daddy Jeff has blessed us, thank the lord
Mr Numerobis	Omfg this ow world cup feature is insane
Thib L. Est.	Um...Symmetra? Buffed? This doesn't sounds right. I hope someday Bastion will get nerfed because seeing my rein shield melt like ice in the sunshine because of a Bastion 3km away isn't fun by any means nor is it balanced.
Alex Davenport	New hero confirmed
Sans The Time Lord	Role Que pls, maybe a Brigette rework and some Sombra nerfs as well pls thankyou. Loving the new features so far.
dogzillal	i talked about how awesome the tech like the world cup viewer would be for streaming  years ago, it's nice to finally see technology get there
Paul Mata	Can you guys nerf Brigitte out of existence?
SomeForeign	weebs:IS IT A BUFF FOR GENJI!!!   The vid:BLIZZCON!
Little Nightmare	Mercy buff 👀
The Giveaway	Like this to kill(nerf) mercy
Travis Walden	WorldCup Viewer sounds fun.  I've been hoping for this since the first day of OWL!
Wow Wow	WORLD CUP VIEWER POG
scarrken	He said the M word.... 6:23
Phunny Yo	Amazing to get matchreplay to see if my yelling at bad tanks actually is legit. Hopefully add a scoreboard, atleast for replay.
SteveSupreme	6:21...      I am uninstalling.
Shaun H	Can’t wait for this viewer.
Lord Kato	Who is that man?
Erek Cooper	Roadhog better actually be buffed and not garbage jeff
steven	Where is my "hi this is jeff kaplain from Over Watch"?
Darkside Skelly	Mercy buff🤩🤩🤩🤗😆
MARIE:ROSE: DVA AKA AGENT SMITH	Guys seriously ENOUGH WITH THE NEGATIVE COMMENTS GOD I SWEAR YOU ALL FIGHTING FOR A COOKIE JEEZ  Let's just see this update of overwatch worldcup goes for this year cause I really want to know more about this
Travis Thomas	All hail the Overwatch team (the buffs most have wanted)       Thanks for listening to the community
Were berius	Where’s my Illidari Genji Papa Jeff?
Skyra Jinn	MERCY BUFFS YES MY DREAMS HAVE COME TRUE  GOD BLESS JEFF
Babman	Remove brigde women
Ihsan Ali	Still no Nerfs for Brigitte, My idea to nerf her is: Reduce the self healing from 16 to 12 Per second, Lower damage to 25 on shield bash (chance of Tracer survive) and Primary to 30 Damage. GM level having a very hard time going against her.
Colora	Why is there never any nerds to characters that need it? The last nerf I can recall is Brigs shield...I can’t think of any others before that
Courtney Morgan	Sym doesn't need buffed -_-
Fares H'k	i khow'it Before he says it  the new Overwatch World Cup Viewer
Daniel Rojas	He didn't say a new hero was gonna appear  O-o
l〈nighT¬972	But who are you tho ? Is this Jeff from the Overwatch team ?
Kalina uwu	I want Mercys healing back!!!
kyy	THIS JUST HELPED THE EDITORS AND CONTENT CREATORS IMMENSELY THANK YOU JEFF
Steve Vo	U have a mistake in description. U said expect Mercy buff, I think u meant nerf.
Please don't waste food!	D.Mon new hero aaaaaaaaaaaaaaaa
StuPid	Future Overwatch? We getting a sequel? Overwatch 2?
Liz	ew mercy buff
thekoening	This is epic
Thomas Sencindiver	I'm very excited that the Overwatch viewer is coming, I'm just so sad it took so long. I really think the game has taken a big hit viewer wise because it wasn't a thing from the start. But hopefully this can bring back some viewers.
Female Marionette ™	*DO NOT GIVE MERCY A BUFF.*
Ninja Man	Reaper Roadhog buff?? *A MERCY BUFF?* This has to be a papa jeff
That Funny Guy	I CANT WAIT FOR BLIZZCON!!!
Garnet Fire	I’m sorry but Mercy just get a new rework! Please!
Thelegend _35	JEFF IS JESUS
SoulTales	Mercy buff omg worth the wait
Sammie Jones	OH SNAP! That's exciting! can't wait to spectate!!!
karkat vantas	Hey Jeff, I have an idea. How about you give the console Community something that either the PC community can't have or can have later on? You made this game for Play Station as well Xbox and I feel like you guys are neglecting us. New systems are always released on PC, I understand that you guys can fix things easier on your own client. But I'm tired of having no benefits from having a console versus a PC. Please show interest and console as we are a big fan base as well, maybe not as big as PC but we still are a big majority of the community.
Ashkan	WELL SHEEEIIIT
shaNk	Can you fix doomfist when he randomly has invinciblity against CC during his slam? (ignoring sleep for instance)
Franky Magic	Interesting how he didn't mention a new Hero wasn't going to be announced.  Just no new map.  ;)
Dev C.	So glad to see Symmetra buffed :) She, along with Torb, are my mains. Now, I just want the amount of time when torb presses F to destroy his turret to be decreased
Ersen	YES! THE SPECTATOR 3000!
X Punishment	ABOUT TIME POOR GIRL FINALLY GETS A BUFF But most importantly ROADHOG BUFF BRING BACK THE ONE MAN APOCALYPSE!
Okay Okay	Dont care about the viewer, gimme the close up face cam of boombox cus this mans a visual
Cuttle	"Mercy buff" I can already hear the mercy one tricks stampeding back to overwatch Pepehands
BlueCash	REPLAY SYSTEM CONFIRMED!?!?!?
NERD4GAMING	Cross platforming is hopefully happening eventually
Elly D	MERCY BUFF? JEFF U MF ANGEL. though reaper, sym, and hog dont need a buff, you are amazing.
Missouri 1105	Wow 😍
Nico Winter	Lol people still play this game
LAWLr :D	yaaaa halo forge
Dean Gardner	Mercy buffs revealed: Valkyrie now revived 10 people at once while a nuke gets set off killing all the enemy team  Jeff goodman: the reason we have decided to make these changes is because all the mercy mains threatened my family, also we believe that reviving a dead player in a fps game is a balanced mechanic and should be in games such as csgo, this has been the overwatch team :) have fun
Kenneth Sim	OW worldcup and money it's now what Jeff cares about now,  not worrying player base had been down for current OW game since BR taken over.
Alexander Becker	Sym buff yes!
MADJiC Studios	If you're NOT announcing a new skin, what ARE you announcing???
ckfeliz	Im not mad that im not getting a new map if i can get that awesome replay system
Kaleb Pius	Reaper and Roadhog buff spoilers: Both heroes are getting their ults made into abilities
Benjamin Perez	FINALLY!!! :3
trixirita	Omg the spectator feature sounds so cool!
Thomas	Idk about anyone else but I don’t really care about world cup
Rookie	Finally they do something to fix Mercy
J Dooms	REPLAY-SYSTEM!!!!!!!!! you know STY is jumping up and down right now!
Gollwer	bring the beard back
Polorpenguin 123	What about fixes to a still broken Reinhardt?
wumbo master	I hope the ability to vote for skipping a map/mode is added 😭
Joseph Kinsman	Clicked so fast, let down even faster.... Blizzcon better fix comp, the communities only been asking for that for what... 10 seasons......
Zia Bhatti	Can you just add more content please
Its yah boi Solaris	Fix the skill rating
Flower	The torb patch was the best patch. #NUTBUTTON
fordis2	Someone give me a TLDR
RedSpinDasher59 Dash	BUFF! BUFF! BUUUUFFFF! (Mah boi Reaper's getting buffed)
vasco carvalheira	Great another Esports feature! god dawn it Jeff talk with the devs and make them add something new.. I have played for over two years and I am just almost done.. I still play Quick Play but still I want a new thing.. Like a new Non-Event Add On..
Diischarged	N U T
Jeeps64	"That means this feature will only be available for our pc players." WOW that hurts
A Wild Mercy Main	Expect a buff for mercy....THE GODS HAVE SPOKEN FINALLYYYYYY
Georgia Carslaw	Yay up dates for Mercy and Rodhog 😊😊😊
Salty Weeby	Jeff I really don't care about any of this but mercy and I see that the OW team only cares about OWWC instead of anything else which is dumb in my opinion but that's another topic. I honestly just wanna know why won't you give us 1.0 mercy with cast time that's the best way to make her enjoyable instead of killing her and making the player base turn away from her because she's useless in every possible way out there so please actually  listen to the community voice about player's most beloved angel
Dynasty Games	Please don’t nerf symmetra, she’s annoying enough as it is
xavier	jeff looks better, he looks in better shape
Reg Teodoro	*Skips To **6:00*
jennifer	why does jeff make me feel 5
blitzer oo	oh it's this game okay...
AlphaMax	Why am I not getting any Halloween skins towards the end of the event? I only get dups now. But I am glad I got Moira skin though. And the epic skins.
Youtube Queen	Can you make it so the loot boxes for events only has event loot I keep getting legendary old skins RIP 😭
DatBoiiJonta'	PepeHands console plebs
Indoman123	This video sums up Overwatch rn perfectly. Blizzard cares more about export and less the game. If the Devs start to care about regular Overwatch it'll last longer but if they focus more on the E sport it'll die
Brian Burnett	Blizzard calls them "developer updates".  I call them "pre-rendered Dinoflask videos".
therealsamtheman	"Mercy buff" *I GASP* "...to Valkyrie" *I'M ALREADY OVER IT*
Forty Fountain	New feature  Jeff: let's not make it available for console until it's been like 4 months
Purrcat	Mercy sym buffs thanks jeff
John Arch	Other than learning that we can watch the world cup which is boring considering I play the game to play at this video give me no information they have less content so much I’m not sure of those games gonna survive another year if they keep the same stuff they’ve been doing
silver Axel	Decrease the Torte health Or decrease the damage . Please work on mercy
vdb	looks like jayne's got his plate full
HellGrimo	I don't care about watching your World Cup or your Overwatch Leage. Start focusing on your real players not just small group that promotes your game
Pile Of Cheese	World cup viewer is a precursor to a replay system?
Keegan mckinney	Can't wait 👍👍
laciee	You can release a new animated short instead of a new map at BlizzCon :).
Acro	All this cool stuff but still only 3 avoid as teammate slots.
Mewthree X	Nice
Mediaright	Will this have broadcast feed presets AND caster/feed audio?
Luiz Felipe Porto	Buff the range of guardian angel
lorcan	2 new heroes possibly?
RinTrash	When will it be on ptr ?
Clovilah	Yeah Symmetra needs buffs like a BREASTPLATE NEEDS NIPPLES.
CSA	MAMA HONG INCOMING
Xiodazer	Entire community: "Nerf doomfist" "Nerf brigitte" Blizzard: "Here's a reaper buff :))))"
violetrayz1	Yes go mercy! Mercy mains forever!!
Nintendo Hacker	THANK YOU FOR THE MERCY BUFF JEFF! ^.^
Leslie Tehuitzil	Mercy buff?? Wait....a I living in a different world???
Wilkham	Bastion ? Anyone ? Playing this hero ?
William Umstattd	So now anyone can be an Overwatch commentator. That is so cool.
Bobpo2016	Who wtf is this, this person didn't say their name
Firlow	esportssss
Rock-Steady-Yeti	Make Guardian Angle Great Again.
Roon	PUT THE PEOPLE WHO MADE KINGS ROW IN CHARGE OF MAP DESIGN AGANE
Its Zinx	Mercy nerf was the best thing to happen. She is still a good support just not a must pick
Phoenix sniper	I am hoping that it will be 20 second valk. Or one instant rez
General Grievous	We want Torb wall climb
bradley cooper	Junkerqueen?😉😉😉😉
FluxGO	Excited for this but also we won’t get the full experience because the games will be all GOATS comp :(((((((
Martín Monicako	I think Genji needs a little buff so less experienced players can play it better against brigitte, etc... And Tracer needs something cause shes not in the meta... Thanks Papa Jeff for this preview. I totally agree with you in the map opinion that you all have😊
MaxRoucaille	Can we hear the broadcast while we are watching the games?
Quizey	Sorry papa Jeff, but your baby Overwatch is dying..... it has been for the past few months. The community has seen that there is favoritism towards PC, that's fine, should of been a PC only game if it was gonna be that way. We the Console community are tired of being in the back, we can let the game die on console and we will.  It was fun Overwatch..
RadBrad5	😃
sovium	stop using all the money on esports... we want new content not ow league
Pulcio	Reaper buff? Why don’t you remove him from the game instead?😒
Oscar Pullin	can we get Jetpack cat?
George Smith	No genji buff?
1579 EtaR0X	not gonna delete brigitte > still not interrested in playing.
Kowai	Reaper doesn’t need buffs.
Bob sagget	Can’t wait for this technology to come to everyone so I can see exactly how bad my team mates were in unwinnable games
Daniel Maiochi	Enable the account transfer from console to pc then, you guys couldn’t care less for console players lately
J.mack	Honestly if u put Mercy hps back! I would be completely fine. As a Mercy main I feel that was completely unnecessary! But I’m glad you are working on her
Francois Mpi	What I think will be annouced at blizzcon :  Hey we're introducing a new hero ! He has only one ability with a 1 second cooldown which will stun, sleep, knock back, pin, trap, hack, boop and freeze you no matter in which situation you are.  *tHaNKs jEfF !*
J. Manuel Marín	gimme gimme gimme Keff Japlan
Reni Guillory	every time I see this notification I get scared
Overwatchdojo	If the replay system goes through, it will give a HUGE quality of life boost not only to watching pro games, but for coaching Overwatch teams as well. Currently we are dependent on a good spectator, which always means getting an extra person or two to just be there and watch the scrims. Awesome update, opting in the beta ASAP!
Owen West	Please nerf doomfist already ffs he is literally at the level of launch genji when it comes to his solo carry and his ability to completely wipe teams.   Edit: literal plat chat below have never faced a GM or even master doomfist before or they are doomfist mains themselves who can't admit there main is retarded and has more wipe potential then most ults in this game.
Neptune Ow	Mercy ult a little too good I think
A Rehtman	Just make a story driven paid dlc with a few new characters for like 40 dollars  The game is dying, just do what r6 does and save the game, it's a shame every friend I know just dropped overwatch, because there is almost nothing new, especially last 2 events
KnucklesXAkiza	Sadly I haven’t been on Overwatch 😢
joemab123	Reaper doesn't need a buff.....does he?
Expert Games	stop buffing sym it isnt helping. she needs more than a rework she needs to return to the concepting phase.
Sylvia J	MERCY BUFF 🤯🤯🤯
Dooper Blooper	Now we wait for the Unit lost video  Start the clock ‘cause I wanna see how committed they are
Gamerhandsjr	Wow, i never thought my voodoo doll of Jeff had worked this hard...
TrickZee	I have been waiting for this. Now we need an owl one.
Kristy Watson	Yes Mercy gets BUFFED!!!!!!!!!
Scott K	This sounds amazing!! Would love to watch pro matches purely from the perspective of the support characters, and the idea of it being released for personal use is even better.
alili1294	Role queue @ Blizzcon!
BluFuryWolf	Mercy buff... MERCY BUFF!! BOI YOU HAVE MY ATTENTION!
Alexandre Galanth	POG FCKING CHAMP !!!
R. Batinic	I really don't care that much about Overwatch World Cup viewer...
Blaze Gaming	Is over watch a dead game? Because of fortnite and black ops 4
Draco Pug	When are these balance changes expected to hit the ptr?
Tom Janse	Jeff, I know you're married and I'm sorry but you must marry me!
therealsalah	Let’s go UK!!! 🇬🇧     *BREXIT MEANS BREXIT*
mmseng2	Wow they made HLTV. Only 17 years after Valve.  Don't get me wrong, it's a great feature, I just find it amazing and somewhat humorous that this amazing technology was pioneered so long ago and yet never really seemed to catch on.
ky mck	I just want new hero's events and maps
OfficialSeanKent Gaming	MMMMEEEEERRRRCCCCYYYYYY!!!
Grenibba	Oh those are actual buffs ppl r asking for
Rex '-'	Buff for my symm😍😍
PrivatesPlay	كل زق ياشيخ أنت ولعبتك...
Classier Dylan	*looks at Fortnite's replay feature* "That's a good idea"
Giona Cantarutti	HOOK AND SHOTGUN CONSITENCY FOR ROADHOG. OH BOY JEFF, I'M COMING BACK TO THE GAME AFTER MONTHS <3
Sloonz Lel	Is it me or does *WINSTON* is in need of a buff?
Ojee	Absolutely amazing feature, aspiring pros needed this so badly
Nevarenn [EGN]	Ermagherd plz just give us a replay tool for ourselves
Dodu Hunt	OWWCV Hype
Pootis	finally overwatch can call himself an esport game with this feature
TheMorphNix	No new map? TWO HEROES BOYS
Joseph Boswell	No map is fine with me. I'm looking forward to Hero 29.
nintendo yoshi	Another feature that is kept from console what else is new
Derpy Hooves	Reaper needs a buff so bad, I wonder what they're changing
Leon	Why mercy
SI Not Found	Shrek is the new hero guys
Azuridus	Is this the big social feature?
Voodoo Gunner	Jeff Kaplan we need you as a dev for world of warcraft!
SLOW	This is good. Not long before players can get replays of their own matches including all these views, rather than just pro matches 👍🏽👍🏽
Stephen Ney	A Mercy... BUFF?  END OF DAYS
JLacay	That’s great and all but can we get more lore and new game modes like if there’s no changes then I don’t think the game will last another year
Ninoasker	Please don't touch anything else for Symmetra just buff her main gun that's all she needs please don't mess up thank ily papa Jeff
Jontman42	I can finally only spectate the Tracer players
NTK GAMING	Yessss mercy is getting fixed
Iguana_Exorcist	Does anyone else feel that Blizz is too focused on the Overwatch League and World cup and not so much on developing and expanding the game and lore? They haven't progressed the story in the Animated Shorts since the Infiltrated short (There was the Zarya/Sombra comic but that only really provided depth and background for Zarya). We've only had exposition and the gap between the last short (D.Va) and the short before that (Rein) was over half a year. The production of heroes is 3-4 a year and if the game is to stay current, it needs more heroes to keep the game fresh and to prevent the meta from getting stale. Thats just my two cents tho and if you think otherwise try and change my mind and see things from your perspective.  TL;DR: Blizz are focused too much on the OW League and World Cup and not enough on the game and lore. Change my mind *cue meme*
Jiggly Puff	Oh yeah give me that news *Daddy Jeff*
Callaboose	I love you.
PennyChaos	[Moira thumbnail] Me: Jeff don't you dare... Jeff: [doesn't discuss Moira at all] Me: praise jeebus
Pika Zilla	Mercy... BUFF? :o
Alpha Crash X	This technology is incredible and must have been so hard to put together. Its gonna make the OWWC viewing experience amazing
Ronald Thompson	I feel like it's Christmas in October.  I can't WAIT for replays for all games.
The No Life Gamer	make roadhog great again
finalfan321	please make something so that you can play your favorite maps more
SushiMudkip	Press "F" for Console Players
Genjiguy11	Please add a hero that can place trampolines or something so the team could flank or get to a higher position.
υмвяα ʝєαииє	Finally, they will buff mercy!
Jam	Wow! This sounds great! In the past.... two years ago. When people were playing and really wanted this feature :(
Gabriel Kuiper	This is such a huge step for overwatch. Having the ability to view whoever and replay games is an amazing learning tool and great for coaches. I am beyond excited.
ShadowDarter	So nothing on updating Bastion....
Naomi Shimada456	Cool
ichibei	We just came out of a 8 months mercy domination, be careful of those buffs.
Dinning	Cant wait for the new mercy and roadhog nerfs they really need it too op
Billy Bob	Optimization?
Busterman64	The word "Buff" and "Mercy" are in the same sentence. Never thought I'd see the day.  Also, if Reaps is getting a buff, I hope it's to his Shadow Step(his teleport).
SeaSideGaming	I highly dislike Overwatch.
Dragon Actual	Can’t wait to see an animated short that gives no advancement to the plot.
Serena Rae	tl;dr anyone?
BananaMan 76	Hey OW development team. This feature sounds really cool, but I'd rather you add role queue so I can PLAY OW instead of watch OW.
Pegasus Gaming	I had literally said that they need to make this exact feature yesterday when I was watching owl highlighd
Aaron Greenberg	Wait so is it coming to console or nah?
Nickii Sims	did somebody say MERCY BUFF?????? gimme.
Ranma	More mercy changes lmao. No character has been changed as much as her. They just can figure her out lmao.
Vasp	When brig removal?????
Renamon	so we will finally get that replay feature every coach is screaming for
philip martin	Stop thinking mercy has to be a must pick to be in the game, leave her bad, it's more fun that way
Anthony Ramirez	sssssstaday's developer update! xD
Genjoe	Brigitte gets buffed at blizzcon
Jordan Franck	This feature sounds incredible!
Michelle P. Kaplan	THANK YOU JEFF I LOVE YOU
GreenTea	Boring.
Sasha Storm	ESPORTS HAS RUINED OVERWATCH!!!!!
TDCascade	This camera thing sounds AMAZING. I can't wait to watch Korea lose from my own perspective.
Mytho Gamers	sounds great
mustafa alrufayie	Doomfist buff when??!!!
Unfinished Quest	Thanks for reminding me with subbox to unsub bc I've given up on this game.
Bader Almansouri	Reaper and hog buffs? *main tank shivers*
Bigtimegamerr 01	Xbox/ps4 players: YEAH! THIS SOUNDS AWESOME!  Jeff: beta is only for pc players.  Consoles: 🤨
Frances McIntyre	Watch Jeff's blinking its Morse code for ( rank doesn't matter)
VETTE	I hope this will be ready for the overwatch league as well
Pegpegv	Actually Pog update. Might come back to the game if it means outing cheaters in comp. and being able to do first party VOD review FeelsGoodMan
Jose_Qndres Xd	Stop buffing symetra, shes already op dont make her worst
Collin Nichols	New mercy buff  +1 damage
Peter BomBeater	So which hero is getting a needless re-work next? Or an unnecessary nerf?
dva_never_dies :3	YESSSSSSS MERCY BUFFF!!! I LOVE U JEFF!!! \(>w<)/ HYPE
CadenWolf151	I hope the new hero is Emily or junker queen
Maybedeadcats	He no longer says hey guys it's Jeff from the overwatch team 😭
Coolsniperxx	So the beta test is only PC but the full version is coming to all or just pc
Albus Dumbledore	BRIGITTE
Doukanitus	So is it not going to be on Console at all for the world cup?
Homie Goldfish	Revive mercy daddy Jeff
Drunk Giraffe666	R.i.p overwatch. Dug it's own grave deconfirming a new map. Lazy year 3 events
GameSpryte	Everyone talking about the new spectator mode. I’m more freaking out about the fact for once Mercy is getting buffed. It’s been over a year.
Justus S.	Hi jeff :)
Sareth	Why would you want to watch Overwatch "eSports" when you can watch StarCraft 2, instead?
Nathan KRUBBLE	Fix Reinhardt reeeee
MSB	:LKGFJHIDSHDRLKDRE P:ULIOREKTJHN GE$R"T?O>L{:YGI<KNE$RWTGIOLK>"{<$ I have no words
Andres Morales	I thought you guys fixed the loot box system? I haven't gotten a legendary Halloween skins since the ones I bought from the credits
Bart	This is what overwatch needed  Watching games was such a clusterfuck
Dubby Dolphin	Waiting for xQc to review this
Simon Hirsch	Boi-ra
Y0shu	Yay another crappy esports update.
OTNOVSKY	all I got from halloween loot boxes are sprays
ThatGuyInTheCorner	Where is the nerfs to Mei?
Koray 03	MERCY IS COMING BACK
Manuel Galoyan	Pls new hero torbjörns sister  xxD
ThelastGinyu	Finally fixing my ex favorite character that you ruined? Symmetra. I hope you truly do fix her. I barley play overwatch ever since her update. Ruined the game for me messing with my favorite character. I would always look foward to maps with big choke points because I could make her shine but now she's useless.
Dehydrated Mango	Daddy
Alexander Garcia	Finally a mercy "buff". Lets see what is it. I expect a nerf xD
Pine Cone	Mercy buffs kappa
grievous444	Any chance for next blizzcon, we can have different individual virtual tickets for the con? Since I don't think their are a lot of people interested in every game Blizzard makes. For me personally I only care for Overwatch. the reason I never buy the virtual ticket, since it's to expensive to get info for one game
Symcathetico	*_When will the patch be available? I want to test the buffs in the PTR, but i can't join it_*
HordeBrony furness	Praise Jeff
Kaneki	Dafuq nerf reaper
Death Rebirth	dear Jeff, your love of overwatch is commendable, please fix world of warcraft for them
blacksmithing idiot	Jeff I love overwatch I really do and I don't think that overwatch is as broken as people day but might I suggest fixing the characters people are complaining about I know I don't know everything about balancing a hero but I do think we could put a bit more effort into it and less into overwatch leauge and so on which I absolutely love by the way
Andy Shelton	This is amazing!
Ez0rus	Sounds like theatre mode that Halo 3 had 10 years ago
ThaMango	More World Cup    end me
Jacob Aguilar	MERCY BUFF YAYAYAYAYAYAYAYAY. IVE NEVER BEEN SO HAPPY IN MY LIFE
Dragon Odin Lord	All the features are based on the cam in fortnite me nani
AdR929	I'm mainly glad that consoles received a little attention and love. If the feature goes through, it's a step up for us to have much more added later...don't forget your console demographic blizzard, please
Mr.Z	>Mercy Buffs  pleasegodno.avi
Iksuda Qataya	This is insane, I love this so much, bring this to OWL next season.
The Black Naruto	YES BUFF REPEAR MOREEEEEE
xHS	How much will it cost for observing?
Hekaro	Next: Pick ems
jack	MERCY BUFFS MERCY BUFFS MERCY BUFFS OMG
GG !	Yes daddy Jeff.
Sapphire Falls;	MERCY’S GETTING A BUFF IM IN PHYSICAL TEARS
D. Alon	When papa Jeff thinks we like watching overwatch more than actually playing it..........
cgdct	Oh god buffing Mercy, please don't make her stupidly OP again. I was just starting to have fun playing support and I can't handle another moth meta
Ablivus	OMFG NOW I CAN STUDY EVERY SINGLE WIDOW IN WC AND HOPEFULLY OWL. DID SOMEONE RAISE YOUR PAYMENT JEFF? WHAT IS WRONG WITH YOU.. YOU CAN KEEP DOOM IN THE GAME IF YOU GIVE ME THAT
Claudio	I thought i would never hear Jeff say "bluffs for mercy"... What happened ? They finally understood how to balance the game ?
Kianna Wilson	Finally a mercy buff..... but reaper? I’m scared
· Buki ·	Take a shot every time he says "Overwatch World Cup Viewer"
darkarch757	"Can you imagine" ye. Weve been doing that since doom matches
CorrellLeo	They're buffing mercy? ITS THE END!
DwightLink	No new map... Story lore has been extremely slow... No new event modes... I get that it's hard work, but us all as fans are disappointed and dissatisfied. We are tired of the constant world cup and OWL stuff. Those things wouldn't be around if us fans didn't help hype this game up so much. No matter what, every game grows because of the fans. The fans are everything. And most people, including myself, would much much, MUCH more enjoy playing the game instead of watching it. Yes, it's interesting to watch, but we want to play it. Roadhog has been dead for ages. And it's finally coming time where he's getting buffs, and hopefully, legitimate buffs. Sorry to say, but saying there isn't a map makes blizzcon seem to be very underwhelming. One hero. One short. What else? Just social things and OWL/world cup stuff? We want in-game, playable, content.   I'm highly disappointed. But this is just my opinion
Landon 247	Do you think it would be OP if while you were being healed by mercy getting hit with a one shot from a Hanzo or widow headshot, a tire, a Doomfist punch, or anything that would kill you in one hit it left the person being healed with exactly one health instead of dying?
Cibix59	Yes ! Thx jeff
Sloan Rogers	The fact we arent getting the social feature until early 2019 and we arent getting a new map kinda scares me but leads me to believe that there is something massive coming.
iamLoneArmada	welp, im buying the ticket now. i definitely want to watch the World Cup in perspectives of my choosing!!
Rikunihon	A-Mei-Zing
Billy Parker	Mercy Buffs. WHYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
brent matchim	Will there be a competitive map pool ?
Floof	was not expecting this but its cool ig
Stephen Busler	As an amateur observer still getting their feet wet, this spectator idea makes me so happy! Plus Roadhog buffs, now I can feel a bit more useful as an offtank!
Spencer Steele	first 75% of the video blah blah blah OWWC last minute "oh yeah about actual game balancing"...
blazer698	Mercy getting a buff??? Is Jeff on cocaine!?!?!?
ViperVenom811	Okay so how come you never give ANY testing ability to console?
Cthulhu The Great One	GOD HAS SPOKEN
Hey It'sme	If we don’t get a new hero/lore I’m actually going to fortnite full time
Loupe	hype
CodClover565	WAIT WAIT mercy getting a buff??? JEFF HAS SPOKEN GO CRAZY
LCEnder	i don’t care about watching overwatch, i want to play it and have fun doing so. your focus is so off
The Loon	Why Sym and Mercy? Pepehands
Juho Saarenpää	Reaper buffs? PogChamp
kipzonderkop1994	Considering how they singled out that there will be no map announcement, character announcement confirmed
The Sandity	REWORK MERCY ALREADY.  2.0 is garbage
Alapox	Interesting.....
owo OVERLOAD	PC woowwww you just did that to me
JackGamer 21	plz dont make mercy buff op i dont want to go thru a new nerfroll
Turtle Hermit WaspInatoR	Yay! ;)
Bryan Rohrbach	I’m just disappointed because we a probably just getting this World Cup thing and a new hero. I hope there’s more to blizzcon like a clan feature.
elysiums	can't wait for a new stun hero Kapp
MrFrost	"Beta testing the OWWC Viewer helps us work on the technology that will allow us to bring this functionality to all platforms and match type." This isn't new technology, Fortnite has had replays for months and has has Battle Royale for basically a year now. Replays are good and all, I am glad that you are adding the feature but you are making it sound like replays are a new concept.
ExoticFlame	NICE TO KNOW have a nice day JEFF
Xyanyde	Thank you for reviewing Mercy.  She needs help, and this is coming from a purist since early beta!
BernyMoon	Mercy buff. THANKS!
TheEccentricSandal	Just announce the movie at blizzcon pls k thx
Kouya Aotsuki	"Really exciting news today!" Oh?? "We're talking about blizzcon!" nvm then
Lucas H	0 interest in the world cup viewer. kinda disappointing dev update
Jeremy Leung	turns out the viewer will cost you $200 to access and you need to get a $100 overwatch pass to be able to buy the viewer
Logan Brown	How much does the mercy buff cost?
Daniel Mora	Papa Jeff spitting in 3:46 You are welcome
UltraTom	imo, what's the point of you uploading any patch to PTR, if you barely listen to the feedback we give online, on Twitter and stuff? Not to mention, the turn out rate for PTR is so abysmal that the required data you guys need is not there. I personally feel like the PTR is kind of pointless.
HUGOBOSS	Bastion buff or rework?
Falcondorf	Please make every one of Brigitte’s abilities a stun
Mike Wxlf	*Please port Overwatch to Nintendo Switch*
Dux Lusor	GOOD JOB PAPA JEFF! 🔥 Gj to you too team of development 👍🏻
TMNWG	Sooo are we talking "millions" of simultaneous ad hoc spectator connections here or what?
Tyler C	I was hardly paying attention until he said mercy’s ult was being buffed, I’m concerned
Mark med	FINIALy mercy myy main will be buffed yesss1. The power taken by Ferdinand III for the Holy Roman Empire's constitution was taken away and given back to the rulers of the German states.   2. The rulers of German states were able to independently decide their religious worship. [Catholic or Protestant or Calvanism]   3. Catholics and Protestants were seen as equal.   4. Calvinism was given legal recognition.   5. Protestantism was recognized as a religion.   6. All parties [Catholic, Protestant, and Calvanist] would now recognize the Peace of Augsburg of 1555
Hentai Hunter	We love you Jeff❤❤❤❤
Ant Lhuede	Glad you put so much effort into watching Pro play rather than fixing the game experience for casual players. Good work guys!!
